,idx_session,idx_pi,idx_start,idx_stop,stop_session,base_iterations,quite,iteration,pi,start,stop,method
0,0,1,2,3,-1,100000,True,90100000,3.141592642503104,1679974294.8266182,1679974304.292973,<class 'multiprocessing.context.Process'>
1,4,5,6,7,-1,200000,True,91000000,3.1415926426245995,1679974294.828637,1679974304.293973,<class 'multiprocessing.context.Process'>
2,8,9,10,11,-1,300000,True,89100000,3.1415926424039844,1679974294.8303244,1679974304.2969728,<class 'multiprocessing.context.Process'>
3,12,13,14,15,-1,400000,True,90000000,3.141592642527637,1679974294.8276358,1679974304.2769732,<class 'multiprocessing.context.Process'>
4,16,17,18,19,-1,500000,True,91500000,3.141592642719977,1679974294.8417828,1679974304.2749732,<class 'multiprocessing.context.Process'>
5,20,21,22,23,-1,600000,True,90600000,3.1415926426245995,1679974294.836166,1679974304.2849753,<class 'multiprocessing.context.Process'>
6,24,25,26,27,-1,700000,True,90300000,3.1415926426005227,1679974294.860617,1679974304.262973,<class 'multiprocessing.context.Process'>
7,28,29,30,31,-1,800000,True,90400000,3.1415926426245995,1679974294.8417828,1679974304.256972,<class 'multiprocessing.context.Process'>
8,32,33,34,35,-1,900000,True,90000000,3.141592642588433,1679974294.8516166,1679974304.2579722,<class 'multiprocessing.context.Process'>
9,36,37,38,39,-1,1000000,True,91000000,3.141592642719977,1679974294.853617,1679974304.2559726,<class 'multiprocessing.context.Process'>
0,0,1,2,3,-1,100000,True,91700000,3.1415926426963003,1679974306.9155514,1679974316.4035983,<class 'multiprocessing.context.Process'>
1,4,5,6,7,-1,200000,True,89400000,3.1415926424289147,1679974306.9135096,1679974316.4025989,<class 'multiprocessing.context.Process'>
2,8,9,10,11,-1,300000,True,92100000,3.1415926427669807,1679974306.9252777,1679974316.3864727,<class 'multiprocessing.context.Process'>
3,12,13,14,15,-1,400000,True,91200000,3.141592642672511,1679974306.9209204,1679974316.3864727,<class 'multiprocessing.context.Process'>
4,16,17,18,19,-1,500000,True,92000000,3.141592642778677,1679974306.9223692,1679974316.3664732,<class 'multiprocessing.context.Process'>
5,20,21,22,23,-1,600000,True,92400000,3.141592642836817,1679974306.9288611,1679974316.3794732,<class 'multiprocessing.context.Process'>
6,24,25,26,27,-1,700000,True,92400000,3.141592642848372,1679974306.9247746,1679974316.3864727,<class 'multiprocessing.context.Process'>
7,28,29,30,31,-1,800000,True,92000000,3.14159264281366,1679974306.929861,1679974316.3844728,<class 'multiprocessing.context.Process'>
8,32,33,34,35,-1,900000,True,92700000,3.1415926429057364,1679974306.9331992,1679974316.3965993,<class 'multiprocessing.context.Process'>
9,36,37,38,39,-1,1000000,True,91000000,3.141592642719977,1679974306.9453542,1679974316.3108077,<class 'multiprocessing.context.Process'>
0,0,1,2,3,-1,100000,True,15400000,3.1415925890738023,1679974320.2648551,1679974332.2020009,<class 'threading.Thread'>
1,4,5,6,7,-1,200000,True,19400000,3.141592602569257,1679974320.2978396,1679974332.2126274,<class 'threading.Thread'>
2,8,9,10,11,-1,300000,True,17400000,3.1415925970926315,1679974320.342987,1679974332.0315192,<class 'threading.Thread'>
3,12,13,14,15,-1,400000,True,17200000,3.1415925967716647,1679974320.4348483,1679974332.040521,<class 'threading.Thread'>
4,16,17,18,19,-1,500000,True,16500000,3.141592594766264,1679974320.539938,1679974332.1194372,<class 'threading.Thread'>
5,20,21,22,23,-1,600000,True,18600000,3.1415926015063027,1679974320.5854876,1679974332.0009897,<class 'threading.Thread'>
6,24,25,26,27,-1,700000,True,12600000,3.141592578401996,1679974321.1038158,1679974331.698243,<class 'threading.Thread'>
