,idx_session,idx_pi,idx_start,idx_stop,stop_session,base_iterations,quite,iteration,pi,start,stop,method,jobs
0,0,1,2,3,-1,100000,True,125300000,3.1415926456148164,1679982447.8125827,1679982457.409916,<class 'multiprocessing.context.Process'>,2
1,4,5,6,7,-1,200000,True,126400000,3.141592645690415,1679982447.8125827,1679982457.4109156,<class 'multiprocessing.context.Process'>,2
0,0,1,2,3,-1,100000,True,119400000,3.141592645221093,1679982458.7528105,1679982468.3120728,<class 'multiprocessing.context.Process'>,5
1,4,5,6,7,-1,200000,True,119400000,3.141592645228082,1679982458.7528105,1679982468.315072,<class 'multiprocessing.context.Process'>,5
2,8,9,10,11,-1,300000,True,119400000,3.141592645235066,1679982458.7538054,1679982468.3040724,<class 'multiprocessing.context.Process'>,5
3,12,13,14,15,-1,400000,True,120400000,3.141592645311192,1679982458.7538054,1679982468.3130655,<class 'multiprocessing.context.Process'>,5
4,16,17,18,19,-1,500000,True,120000000,3.141592645290556,1679982458.7538054,1679982468.3030765,<class 'multiprocessing.context.Process'>,5
0,0,1,2,3,-1,100000,True,92900000,3.141592642836817,1679982469.8009515,1679982479.271268,<class 'multiprocessing.context.Process'>,10
1,4,5,6,7,-1,200000,True,92800000,3.141592642836817,1679982469.7963572,1679982479.25728,<class 'multiprocessing.context.Process'>,10
2,8,9,10,11,-1,300000,True,95100000,3.141592643107085,1679982469.8002677,1679982479.2506912,<class 'multiprocessing.context.Process'>,10
3,12,13,14,15,-1,400000,True,92000000,3.1415926427669807,1679982469.797088,1679982479.2602773,<class 'multiprocessing.context.Process'>,10
4,16,17,18,19,-1,500000,True,94500000,3.141592643062922,1679982469.804261,1679982479.2526915,<class 'multiprocessing.context.Process'>,10
5,20,21,22,23,-1,600000,True,92400000,3.141592642836817,1679982469.805639,1679982479.2203732,<class 'multiprocessing.context.Process'>,10
6,24,25,26,27,-1,700000,True,91700000,3.1415926427669807,1679982469.8113494,1679982479.227858,<class 'multiprocessing.context.Process'>,10
7,28,29,30,31,-1,800000,True,92000000,3.14159264281366,1679982469.815944,1679982479.2592807,<class 'multiprocessing.context.Process'>,10
8,32,33,34,35,-1,900000,True,93600000,3.1415926430074657,1679982469.8133495,1679982479.269267,<class 'multiprocessing.context.Process'>,10
9,36,37,38,39,-1,1000000,True,91000000,3.141592642719977,1679982469.8179524,1679982479.1903994,<class 'multiprocessing.context.Process'>,10
0,0,1,2,3,-1,100000,True,40900000,3.141592629200296,1679982481.287071,1679982490.3106089,<class 'multiprocessing.context.Process'>,20
1,4,5,6,7,-1,200000,True,43000000,3.1415926304421733,1679982481.26589,1679982490.302607,<class 'multiprocessing.context.Process'>,20
2,8,9,10,11,-1,300000,True,41700000,3.141592629781138,1679982481.229452,1679982490.3016071,<class 'multiprocessing.context.Process'>,20
3,12,13,14,15,-1,400000,True,41600000,3.141592629781138,1679982481.296171,1679982490.3221653,<class 'multiprocessing.context.Process'>,20
4,16,17,18,19,-1,500000,True,39500000,3.1415926285904643,1679982481.3728442,1679982490.220202,<class 'multiprocessing.context.Process'>,20
5,20,21,22,23,-1,600000,True,43800000,3.141592631067753,1679982481.260491,1679982490.3116074,<class 'multiprocessing.context.Process'>,20
6,24,25,26,27,-1,700000,True,42000000,3.1415926301711203,1679982481.2708828,1679982490.3151696,<class 'multiprocessing.context.Process'>,20
7,28,29,30,31,-1,800000,True,42400000,3.1415926304421733,1679982481.2859104,1679982490.150946,<class 'multiprocessing.context.Process'>,20
8,32,33,34,35,-1,900000,True,43200000,3.141592630914575,1679982481.2916126,1679982490.2673998,<class 'multiprocessing.context.Process'>,20
9,36,37,38,39,-1,1000000,True,38000000,3.1415926279494286,1679982481.2967088,1679982490.220202,<class 'multiprocessing.context.Process'>,20
10,40,41,42,43,-1,1100000,True,38500000,3.141592628338019,1679982481.304952,1679982490.151619,<class 'multiprocessing.context.Process'>,20
11,44,45,46,47,-1,1200000,True,38400000,3.141592628338019,1679982481.318775,1679982490.085896,<class 'multiprocessing.context.Process'>,20
12,48,49,50,51,-1,1300000,True,36400000,3.1415926270651324,1679982481.3674903,1679982490.1059492,<class 'multiprocessing.context.Process'>,20
13,52,53,54,55,-1,1400000,True,39200000,3.1415926289600096,1679982481.3060756,1679982490.1398647,<class 'multiprocessing.context.Process'>,20
14,56,57,58,59,-1,1500000,True,39000000,3.141592628899209,1679982481.3477364,1679982490.044377,<class 'multiprocessing.context.Process'>,20
15,60,61,62,63,-1,1600000,True,36800000,3.1415926275487758,1679982481.3482394,1679982490.13686,<class 'multiprocessing.context.Process'>,20
16,64,65,66,67,-1,1700000,True,39100000,3.141592629080724,1679982481.3654926,1679982490.1999388,<class 'multiprocessing.context.Process'>,20
17,68,69,70,71,-1,1800000,True,39600000,3.141592629435949,1679982481.3485632,1679982490.220202,<class 'multiprocessing.context.Process'>,20
18,72,73,74,75,-1,1900000,True,38000000,3.1415926285278246,1679982481.3912723,1679982490.0828986,<class 'multiprocessing.context.Process'>,20
19,76,77,78,79,-1,2000000,True,40000000,3.141592629781138,1679982481.3654926,1679982489.957058,<class 'multiprocessing.context.Process'>,20
0,0,1,2,3,-1,100000,True,30900000,3.1415926213320717,1679982492.9717503,1679982501.6600242,<class 'multiprocessing.context.Process'>,30
1,4,5,6,7,-1,200000,True,23800000,3.1415926119229836,1679982492.9685605,1679982501.6574244,<class 'multiprocessing.context.Process'>,30
2,8,9,10,11,-1,300000,True,33300000,3.141592623828603,1679982492.9082882,1679982501.6338189,<class 'multiprocessing.context.Process'>,30
